Space,Row,One,datetime_to_nearest_hour,id,norm_count,Ref,Cluster
1,4,1,2014-12-31 09:00:00,2,0.03225806451612903,31,1
1,4,1,2014-12-31 10:00:00,4,0.0967741935483871,31,1
1,4,1,2014-12-31 11:00:00,7,0.1935483870967742,31,1
1,4,1,2014-12-31 12:00:00,6,0.16129032258064516,31,1
1,4,1,2014-12-31 13:00:00,5,0.12903225806451613,31,1
1,4,1,2014-12-31 14:00:00,6,0.16129032258064516,31,1
1,4,1,2014-12-31 15:00:00,2,0.03225806451612903,31,1
1,4,1,2014-12-31 16:00:00,6,0.16129032258064516,31,1
1,4,1,2014-12-31 17:00:00,5,0.12903225806451613,31,1
1,4,1,2014-12-31 18:00:00,4,0.0967741935483871,31,1
1,4,1,2014-12-31 19:00:00,6,0.16129032258064516,31,1
1,4,1,2014-12-31 20:00:00,2,0.03225806451612903,31,1
1,4,1,2014-12-31 21:00:00,1,0.0,31,1
1,4,1,2014-12-31 22:00:00,7,0.1935483870967742,31,1
1,4,1,2014-12-31 23:00:00,13,0.3870967741935484,31,1
1,4,1,2015-01-01 00:00:00,18,0.5483870967741935,31,1
1,4,1,2015-01-01 01:00:00,6,0.16129032258064516,31,1
1,4,1,2015-01-01 02:00:00,6,0.16129032258064516,31,1
1,4,1,2015-01-01 03:00:00,21,0.6451612903225806,31,1
1,4,1,2015-01-01 04:00:00,2,0.03225806451612903,31,1
1,4,1,2015-01-01 05:00:00,3,0.06451612903225806,31,1
1,4,1,2015-01-01 06:00:00,5,0.12903225806451613,31,1
1,4,1,2015-01-01 08:00:00,2,0.03225806451612903,31,1
1,4,1,2015-01-01 09:00:00,1,0.0,31,1
1,4,1,2015-01-01 10:00:00,2,0.03225806451612903,31,1
1,4,1,2015-01-01 11:00:00,7,0.1935483870967742,31,1
1,4,1,2015-01-01 12:00:00,3,0.06451612903225806,31,1
1,4,1,2015-01-01 13:00:00,4,0.0967741935483871,31,1
1,4,1,2015-01-01 14:00:00,12,0.3548387096774194,31,1
1,4,1,2015-01-01 15:00:00,5,0.12903225806451613,31,1
1,4,1,2015-01-01 16:00:00,21,0.6451612903225806,31,1
1,4,1,2015-01-01 17:00:00,8,0.22580645161290322,31,1
1,4,1,2015-01-01 18:00:00,13,0.3870967741935484,31,1
1,4,1,2015-01-01 19:00:00,17,0.5161290322580645,31,1
1,4,1,2015-01-01 20:00:00,10,0.2903225806451613,31,1
1,4,1,2015-01-01 21:00:00,32,1.0,31,1
1,4,1,2015-01-01 22:00:00,12,0.3548387096774194,31,1
1,4,1,2015-01-01 23:00:00,4,0.0967741935483871,31,1
1,4,1,2015-02-01 00:00:00,3,0.06451612903225806,31,1
1,4,1,2015-02-01 01:00:00,2,0.03225806451612903,31,1
1,4,1,2015-02-01 02:00:00,1,0.0,31,1
1,5,1,2014-12-31 04:00:00,3,0.0392156862745098,41,5
1,5,1,2014-12-31 05:00:00,1,0.0,41,5
1,5,1,2014-12-31 06:00:00,4,0.058823529411764705,41,5
1,5,1,2014-12-31 07:00:00,4,0.058823529411764705,41,5
1,5,1,2014-12-31 08:00:00,9,0.1568627450980392,41,5
1,5,1,2014-12-31 09:00:00,11,0.19607843137254902,41,5
