2014-12-31 04:00:00,2014-12-31 05:00:00,2014-12-31 09:00:00,2014-12-31 10:00:00,2014-12-31 11:00:00,2014-12-31 12:00:00,2014-12-31 13:00:00,2014-12-31 14:00:00,2014-12-31 16:00:00,2014-12-31 17:00:00,2014-12-31 18:00:00,2014-12-31 19:00:00,2014-12-31 20:00:00,2014-12-31 22:00:00,2014-12-31 23:00:00,2015-01-01 00:00:00,2015-01-01 01:00:00,2015-01-01 02:00:00,2015-01-01 03:00:00,2015-01-01 04:00:00,2015-01-01 09:00:00,2015-01-01 10:00:00,2015-01-01 11:00:00,2015-01-01 12:00:00,2015-01-01 13:00:00,2015-01-01 14:00:00,2015-01-01 15:00:00,2015-01-01 16:00:00,2015-01-01 17:00:00,2015-01-01 18:00:00,2015-01-01 19:00:00,2015-01-01 20:00:00,2015-01-01 21:00:00,2015-01-01 22:00:00,2015-01-01 23:00:00,2015-02-01 00:00:00,2015-02-01 01:00:00,2015-02-01 02:00:00,2014-12-31 06:00:00,2014-12-31 07:00:00,2014-12-31 08:00:00,2014-12-31 15:00:00,2014-12-31 21:00:00,2015-01-01 05:00:00,2015-01-01 08:00:00,2015-02-01 03:00:00,2015-01-01 06:00:00,2015-01-01 07:00:00,Ref
0.2222222222222222,0.0,0.0,0.3333333333333333,0.8888888888888888,0.5555555555555556,0.1111111111111111,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.0,0.5555555555555556,0.1111111111111111,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.0,0.2222222222222222,0.3333333333333333,1.0,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.7777777777777778,0.1111111111111111,0.6666666666666666,0.7777777777777778,1.0,0.7777777777777778,0.1111111111111111,0.4444444444444444,0.0,0.5555555555555556,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,0.0,0.07692307692307693,0.41025641025641024,0.28205128205128205,0.20512820512820512,0.1282051282051282,0.2564102564102564,0.23076923076923078,0.1794871794871795,0.10256410256410256,0.38461538461538464,0.3076923076923077,0.10256410256410256,0.5128205128205128,0.10256410256410256,0.1282051282051282,0.05128205128205128,0.02564102564102564,0.05128205128205128,0.0,0.1282051282051282,0.02564102564102564,0.23076923076923078,0.1282051282051282,0.1282051282051282,0.15384615384615385,0.41025641025641024,0.28205128205128205,0.38461538461538464,1.0,0.717948717948718,0.38461538461538464,0.2564102564102564,0.48717948717948717,0.1282051282051282,0.0,0.02564102564102564,0.0,0.0,0.07692307692307693,0.07692307692307693,0.1282051282051282,0.0,0.23076923076923078,0.07692307692307693,0.0,0.0,21
0.0,0.0,0.03225806451612903,0.0967741935483871,0.1935483870967742,0.16129032258064516,0.12903225806451613,0.16129032258064516,0.16129032258064516,0.12903225806451613,0.0967741935483871,0.16129032258064516,0.03225806451612903,0.1935483870967742,0.3870967741935484,0.5483870967741935,0.16129032258064516,0.16129032258064516,0.6451612903225806,0.03225806451612903,0.0,0.03225806451612903,0.1935483870967742,0.06451612903225806,0.0967741935483871,0.3548387096774194,0.12903225806451613,0.6451612903225806,0.22580645161290322,0.3870967741935484,0.5161290322580645,0.2903225806451613,1.0,0.3548387096774194,0.0967741935483871,0.06451612903225806,0.03225806451612903,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.06451612903225806,0.03225806451612903,0.0,0.12903225806451613,0.0,31
0.0392156862745098,0.0,0.19607843137254902,0.1568627450980392,0.5294117647058824,0.8235294117647058,0.49019607843137253,0.4117647058823529,0.39215686274509803,0.4117647058823529,0.35294117647058826,0.39215686274509803,0.21568627450980393,0.45098039215686275,0.5490196078431373,0.8235294117647058,0.17647058823529413,0.11764705882352941,0.0196078431372549,0.0,0.0784313725490196,0.43137254901960786,0.4117647058823529,0.43137254901960786,0.5882352941176471,0.6470588235294118,0.3333333333333333,0.37254901960784315,0.3333333333333333,0.5098039215686274,0.803921568627451,0.45098039215686275,1.0,0.6862745098039216,0.8431372549019608,0.39215686274509803,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.1568627450980392,0.7058823529411765,0.3137254901960784,0.0,0.0,0.0196078431372549,0.0,0.0,41
0.0,0.06451612903225806,0.6451612903225806,0.4946236559139785,0.3118279569892473,0.7634408602150538,0.46236559139784944,0.4946236559139785,0.3010752688172043,0.46236559139784944,0.43010752688172044,0.7311827956989247,0.5913978494623656,0.13978494623655913,0.12903225806451613,0.2903225806451613,0.06451612903225806,0.1827956989247312,0.053763440860215055,0.15053763440860216,0.3548387096774194,0.3010752688172043,0.3225806451612903,0.5376344086021505,0.5376344086021505,0.3978494623655914,0.40860215053763443,0.5698924731182796,0.44086021505376344,0.6989247311827957,1.0,0.7096774193548387,0.6021505376344086,0.45161290322580644,0.3763440860215054,0.4731182795698925,0.3333333333333333,0.5376344086021505,0.22580645161290322,0.2903225806451613,0.5591397849462365,0.5698924731182796,0.15053763440860216,0.06451612903225806,0.11827956989247312,0.11827956989247312,0.0967741935483871,0.053763440860215055,51
0.0,0.0,0.3170731707317073,0.4634146341463415,0.4634146341463415,0.7560975609756098,0.8536585365853658,0.6097560975609756,0.4634146341463415,0.4878048780487805,1.0,0.6585365853658537,0.34146341463414637,0.4146341463414634,0.24390243902439024,0.7317073170731707,0.34146341463414637,0.2682926829268293,0.04878048780487805,0.024390243902439025,0.4146341463414634,0.36585365853658536,0.4878048780487805,0.6097560975609756,0.3902439024390244,0.21951219512195122,0.1951219512195122,0.36585365853658536,0.7317073170731707,0.8048780487804879,0.5853658536585366,0.5121951219512195,0.5853658536585366,0.34146341463414637,0.2926829268292683,0.12195121951219512,0.07317073170731707,0.04878048780487805,0.024390243902439025,0.14634146341463414,0.5853658536585366,0.5609756097560976,0.24390243902439024,0.12195121951219512,0.17073170731707318,0.0,0.12195121951219512,0.04878048780487805,61
0.0,0.0,0.0,0.35714285714285715,0.14285714285714285,0.2857142857142857,0.21428571428571427,0.21428571428571427,0.42857142857142855,0.35714285714285715,0.07142857142857142,0.35714285714285715,0.6428571428571429,0.14285714285714285,0.7857142857142857,0.7142857142857143,0.42857142857142855,0.2857142857142857,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.5714285714285714,0.7142857142857143,1.0,0.21428571428571427,0.7142857142857143,0.35714285714285715,0.14285714285714285,0.6428571428571429,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,71
0.0,0.0,0.027777777777777776,0.3333333333333333,0.3611111111111111,0.6111111111111112,0.4722222222222222,0.3055555555555556,0.5833333333333334,0.4444444444444444,0.5,0.1388888888888889,0.08333333333333333,0.2222222222222222,0.2777777777777778,1.0,0.25,0.05555555555555555,0.08333333333333333,0.0,0.027777777777777776,0.19444444444444445,0.4444444444444444,0.4444444444444444,0.3888888888888889,0.3055555555555556,0.3333333333333333,0.4722222222222222,0.3055555555555556,0.6944444444444444,0.7222222222222222,0.7777777777777778,0.2777777777777778,0.5,0.4166666666666667,0.3333333333333333,0.19444444444444445,0.1388888888888889,0.0,0.027777777777777776,0.25,0.3055555555555556,0.2222222222222222,0.0,0.1111111111111111,0.05555555555555555,0.6388888888888888,0.1111111111111111,81
0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.8,0.2,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.2,0.6,0.0,0.6,0.2,0.6,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,91
0.012658227848101266,0.012658227848101266,0.189873417721519,0.26582278481012656,0.3670886075949367,0.4430379746835443,0.3670886075949367,0.3037974683544304,0.379746835443038,0.31645569620253167,0.24050632911392406,0.20253164556962025,0.24050632911392406,0.17721518987341772,0.25316455696202533,0.31645569620253167,0.31645569620253167,0.24050632911392406,0.11392405063291139,0.0759493670886076,0.11392405063291139,0.08860759493670886,0.2911392405063291,0.379746835443038,0.3037974683544304,0.6962025316455697,0.46835443037974683,0.5063291139240507,0.5189873417721519,1.0,0.9620253164556962,0.5443037974683544,0.810126582278481,0.569620253164557,0.4050632911392405,0.22784810126582278,0.05063291139240506,0.06329113924050633,0.0379746835443038,0.012658227848101266,0.16455696202531644,0.379746835443038,0.24050632911392406,0.0,0.0759493670886076,0.0,0.10126582278481013,0.08860759493670886,12
